ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO23N000000001,1984,북카페,일반서적,03995,서울특별시 마포구 동교로 194 혜원빌딩 1층,37.5573888,126.69228112,,,,,,,,,,,,
KCCBSPO23N000000002,"LIFE,LIFE",북카페,일반서적,21356,인천광역시 부평구 길주남로 46 2층,37.5044242,126.67267348,,,,,,,,,,,,
KCCBSPO23N000000003,고래악어 커피앤북스,북카페,일반서적,16213,경기도 수원시 장안구 창훈로52번길 18 1층,37.2971047,127.70311718,,,,,,,,,,,,
KCCBSPO23N000000004,고래책방,북카페,일반서적,25551,강원특별자치도 강릉시 율곡로 2848,37.7582154,128.88972116,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,연중무휴,0336410700,책과 은은한 커피와 빵굽는 냄새로 가득한 고래책방,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000005,고양이서점&카페,북카페,일반서적,03036,서울특별시 종로구 자하문로7길 63 1층,37.5799936,126.69690972,,,,,,,,,,,,
KCCBSPO23N000000006,고양이회관,북카페,일반서적,53026,경상남도 통영시 용남면 대안2길 21 1층,34.8786328,128.84347255,,,,,,,,,,,,
KCCBSPO23N000000007,고읍동커피책방,북카페,일반서적,11492,경기도 양주시 고읍남로191번길 86-7,37.7917654,127.70793638,,,,,,,,,,,,
KCCBSPO23N000000008,그림책카페노란우산 관광대점,북카페,그림서적,63063,제주특별자치도 제주시 애월읍 평화로 2715 제주관광대학교 행복기숙사2호관 2층 1호,33.4477759,126.64349848,,,,,,,,,,,,
KCCBSPO23N000000009,길담서원,북카페,인문서적,32550,충청남도 공주시 효심1길 9 길담서원,36.4491438,127.71195001,12:00,21:00,12:00,21:00,,,,,"일요일, 공휴일",027309949,인문학과 함께 크는 문화 공간,카페 : 있음
KCCBSPO23N000000010,꽃이 왔다 일생이 참 환하다,북카페,일반서적,41946,대구 중구 삼덕동3가 220-2,35.8645409,128.86093148,,,,,,,,,,,,
KCCBSPO23N000000011,꾸메문고 두번째이야기,북카페,일반서적,,"세종특별자치시 한누리대로 2265 1,2층 101,102,201호(대평동, 세종 메디컬센터)",36.4723276,127.72771947,10:00,22:00,10:00,19:00,10:00,19:00,,,,050713731370,1층에는 서점 2층에는 카페공간이 있습니다. 카페공간 전시문의 환영이에요~!,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000012,꿈이룸공작소,북카페,일반서적,50915,경상남도 김해시 가락로124번길 5-2 1층,35.2379784,128.88814868,,,,,,,,,,,,
KCCBSPO23N000000013,나녹북카페,북카페,일반서적,31198,충청남도 천안시 동남구 청수11로 24 에스디빌딩 5층505호,36.7825368,127.71548387,,,,,,,,,,,,
KCCBSPO23N000000014,나무아래서,북카페,일반서적,12048,경기도 남양주시 오남읍 양지로 175-16 1F,37.6926058,127.71994383,,,,,,,,,,,,
KCCBSPO23N000000015,달리는달팽이책방카페,북카페,일반서적,11029,경기도 연천군 전곡읍 은전로77번길 34 1층 103호,38.0298292,127.70678523,,,,,,,,,,,,
KCCBSPO23N000000016,달리책방,북카페,일반서적,63012,제주특별자치도 제주시 한림읍 월계로 18,33.4033027,126.62547297,13:00,19:00,13:00,19:00,13:00,19:00,,,"월요일, 화요일 정기휴무",050714166075,"제주 서쪽 동네 옹포리에 위치한 작은 서점, 달빛아래 책읽는 소리라는 의미를 품은 서점","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000017,달빛책방&달빛북스,북카페,일반서적,,경상남도 김해시 식만로348번길 42 달빛북스,35.2182267,128.89214052,,,,,,,,,,,,
KCCBSPO23N000000018,달책빵,북카페,일반서적,63360,제주특별자치도 제주시 구좌읍 대수길 10-12,33.5364487,126.68392926,11:00,18:30,11:00,18:30,11:00,18:30,,,"화요일 정기휴무, 임시휴무 인스타 공지",050713054847,베이커리 카페와 독립서점을 함께 운영,"화장실 남녀구분 : 구분, 카페 : 있음, 독립출판물 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000019,대구서점대구북카페 책속에길이있다,북카페,일반서적,42270,대구광역시 수성구 달구벌대로645길 22 시지우방하이츠 상가2층,35.8415443,128.87112949,,,,,,,,,,,,
KCCBSPO23N000000020,댄싱터틀,북카페,일반서적,25592,강원특별자치도 강릉시 노암길 42,37.7474325,128.89011462,,,,,,,,,,,,
KCCBSPO23N000000021,더숲 초소책방,북카페,일반서적,03033,서울특별시 종로구 인왕산로 172,37.5859414,126.6964205,8:00,21:00,8:00,21:00,8:00,21:00,,,,027350206,[주차장 관련 안내] 주차장 사용이 매우 어려우니 가급적이면 도보/택시/대중교통 이용 부탁드립 니다.,"화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000022,데시그램북스,북카페,일반서적,32550,충청남도 공주시 효심1길 12-1 데시그램북스,36.4496497,127.7119521,11:00,20:00,11:00,20:00,11:00,20:00,,,,,한옥에 위치한 북카페,카페 : 있음
KCCBSPO23N000000023,도꼬마리,북카페,일반서적,02420,서울특별시 동대문구 휘경로7길 3,37.5955565,127.70628153,10:00,21:00,10:00,18:00,,,,,일요일,07086154080,"이문동 까페 도꼬마리는, 마을 주민들이 함께 운 영하는 형태의 마을까페","화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000024,동네서점 아르케,북카페,일반서적,48071,부산광역시 해운대구 송정중앙로5번길 77 2층,35.1867726,129.92036551,,,,,,,,,,,,
KCCBSPO23N000000025,두록,북카페,일반서적,53319,경상남도 거제시 장승포로 77 두록,34.8654007,128.87304667,,,,,,,,,,,,
KCCBSPO23N000000026,디플레이스 스터디카페 창원내서점,북카페,일반서적,51218,경상남도 창원시 마산회원구 내서읍 상곡로 60 1층,35.2450434,128.85001776,,,,,,,,,,,,
KCCBSPO23N000000027,라비브북스,북카페,일반서적,10359,경기도 고양시 일산동구 무궁화로141번길 16-7,37.6704511,126.67770498,11:00,19:00,11:00,19:00,,,,,일요일,07088790908,"커피가 있는 작은 동네서점 - 책, 커피, 빈티지컵",카페 : 있음
KCCBSPO23N000000028,러브커피브루어스,북카페,일반서적,16220,경기도 수원시 장안구 월드컵로404번길 10 1층,37.2928246,127.70281856,,,,,,,,,,,,
KCCBSPO23N000000029,맨홀커피웨스턴책방,북카페,일반서적,07267,서울특별시 영등포구 영등포로27길 24 맨홀커피 웨스턴 책방 1층,37.5229918,126.68995265,,,,,,,,,,,,
KCCBSPO23N000000030,문작가의 카페,북카페,일반서적,42628,대구광역시 달서구 용산로 225 3층 문작가의 카페,35.8577994,128.85303227,9:00,17:00,9:00,17:00,,,,,"일요일, 공휴일 휴무",,"작가가 있는 책방,토론과 글쓰기 등 동네 북카페","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000031,바라나시책골목,북카페,일반서적,63153,제주특별자치도 제주시 동한두기길 35-2,33.5162825,126.65151864,11:00,19:00,,,,,,,주말 휴무,050713799720,인디아를 느끼며 짜이를 마시고 책을 볼 수 있는 작은 집,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000032,버찌책방,북카페,일반서적,34065,대전광역시 유성구 반석로142번길 15-38 1층 버찌책방,36.38912,127.72969705,11:00,17:00,11:00,15:00,,,,,"월요일, 일요일, 공휴일 휴무",050713557362,"맛있는 커피, 티가 있는 우리 동네 문화 사랑방","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000033,북카페 도토관,북카페,일반서적,63333,제주특별자치도 제주시 조천읍 신북로 453 도토관,33.5439547,126.66588385,,,,,,,,,,,,
KCCBSPO23N000000034,북커스,북카페,일반서적,03004,서울특별시 종로구 평창30길 10 2층,37.6109865,126.697509,11:00,21:00,11:00,21:00,11:00,21:00,,,월요일 휴무,023944588,독서활동 장소,"화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000035,비본책방,북카페,일반서적,55796,전북특별자치도 남원시 쑥고개로 25 2층,35.3993518,127.73796274,,,,,,,,,,,,
KCCBSPO23N000000036,삼복서점,북카페,일반서적,61987,광주광역시 서구 화운로 121,35.1499982,126.68782223,10:00,21:00,10:00,21:00,,,,,"2,4주 일요일 휴무",0623723536,"카페,디저트를 책과 함께 할 수 있는 편안한 공간","주차 : 가능, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000037,삼일문고,북카페,일반서적,39229,경상북도 구미시 금오시장로 6,36.1255011,128.8340641,10:00,21:30,10:30,21:00,10:30,21:00,10:30,21:00,,0544530031,"다양한 종류의 서적, 서점 안, 바블리오라는 북카페 존재","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000038,생각을담는집,북카페,일반서적,17167,경기도 용인시 처인구 원삼면 사암로 59-11,37.194405,127.72997244,,,,,,,,,,,,
KCCBSPO23N000000039,생각지못한기쁨,북카페,일반서적,63524,제주특별자치도 서귀포시 안덕면 신화역사로 583-20,33.3120499,126.63492746,,,,,,,,,,,,
KCCBSPO23N000000040,샵메이커즈,북카페,일반서적,48307,부산광역시 수영구 남천동로 5 2층,35.1430825,129.91097011,12:00,19:00,12:00,19:00,13:00,19:00,,,월요일 휴무,0515129906,"책방, 소품샵, 카페 겸 독립서점","카페 : 있음, 독립출판물 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000041,서재를 탐하다,북카페,일반서적,41732,대구광역시 서구 고성로 132-2,35.8814949,128.85800731,10:30,16:00,,,,,,,,050713940912,"주인장 없는 독립공간, 서재의 모든 책 열람 및 구매 가능, 핸드드립 블랜딩 서탐커피&티 제공","주차 : 가능, 카페 : 있음"
KCCBSPO23N000000042,서호책방,북카페,일반서적,25807,강원특별자치도 동해시 청운로 84 1동 103호,37.4876328,129.9102961,11:00,18:00,11:00,18:00,11:00,18:00,,,목요일,0335210491,큐레이션 책방과 카페,"주차 : 가능, 카페 : 있음"
KCCBSPO23N000000043,선유서가,북카페,일반서적,07202,서울특별시 영등포구 양평로30가길 22 1층 선유서가,37.5426355,126.68908819,,,,,,,,,,,,
KCCBSPO23N000000044,송송책방,북카페,일반서적,03057,서울특별시 종로구 창덕궁길 84 102호,37.5811933,126.69894288,10:00,20:00,10:00,20:00,,,,,일요일 휴무,07042047572,"출판사 송송책방에서 운영하는 북카페, 주인 소장 책을 마음껏 이용할 수 있음, 책모임 환영","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000045,스타더스트,북카페,일반서적,03182,서울특별시 종로구 새문안로5길 5-7 3층,37.5708364,126.69744558,11:30,22:00,13:00,18:00,,,,,일요일 휴무,050714057503,"광화문에 위치한 카페 & 모임공간, 카페 휴무 여부는 카카오톡채널로 확인","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000046,스테이 위드 북,북카페,일반서적,52410,경상남도 남해군 서면 남서대로 1673 오를라섬 1층,34.8102761,127.78355757,,,,,,,,,,,,
KCCBSPO23N000000047,시간의 흐름,북카페,일반서적,52431,경상남도 남해군 이동면 무림로 71 1층,34.8000612,127.79543345,,,,,,,,,,,,
KCCBSPO23N000000048,씨씨윗북 북스토어,북카페,일반서적,49081,부산광역시 영도구 흰여울길 99 씨씨윗북 북스토어,35.0790603,129.9044649,12:00,19:00,10:00,22:00,,,,,일요일 휴무,050713761428,"See Sea with BOOK은,30좌석으로 인원수를 제한합니다.","화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000049,앨리스앤피터,북카페,일반서적,27453,충청북도 충주시 노은면 솔고개로 737-1 앨리스앤피터,37.0309562,127.77739539,,,,,,,,,,,,
KCCBSPO23N000000050,오늘은책방,북카페,일반서적,38097,경상북도 경주시 소금강로8번길 11-2 1층 오늘은책방,35.8593081,129.92217947,13:00,18:00,13:00,18:00,13:00,18:00,,,"월요일, 화요일",050714948328,"책, 사람, 자연과 함께 하루를 풍성히 하고 싶은 공간","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000051,오혜,북카페,일반서적,10909,경기도 파주시 송학1길 173-1 1층 오혜,37.7165883,126.67644018,,,,,,,,,,,,
KCCBSPO23N000000052,온적공간,북카페,일반서적,13105,경기도 성남시 수정구 대왕판교로982번길 21-2,37.4289447,127.71045893,,,,,,,,,,,,
KCCBSPO23N000000053,우연한 서점,북카페,일반서적,48290,부산광역시 수영구 민락본동로11번길 12 1층,35.1578911,129.9127873,11:00,22:00,11:00,22:00,11:00,22:00,,,화요일 휴무,050713964777,"커피, 술, 책을 판매","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000054,인덱스숍,북카페,일반서적,05071,서울특별시 광진구 아차산로 200 커먼그라운드 3F(나이키 건물 3F),37.5412459,127.70657883,11:00,22:00,11:00,22:00,11:00,22:00,,,,0221221259,"create your index! 인덱스숍은 크리에이터를 위한 책과 커피, 북라이프 콘텐츠를 제안합니다.","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000055,전주산책,북카페,일반서적,55041,전북특별자치도 전주시 완산구 기린대로 85,35.8172525,127.71538292,10:00,21:00,10:00,21:00,10:00,21:00,,,,0639077386,"라한호텔의 서점, 작가강연등 다양한 이벤트",카페 : 있음
KCCBSPO23N000000056,제주성산카페 바다방 책과와인,북카페,일반서적,63634,제주특별자치도 서귀포시 성산읍 일주동로 5177-20 1층,33.3740523,126.68734767,,,,,,,,,,,,
KCCBSPO23N000000057,종이잡지클럽 제주,북카페,잡지,63278,제주특별자치도 제주시 산지로 17 2층,33.515348,126.65296735,,,,,,,,,,,,
KCCBSPO23N000000058,즐거운커피x한쪽가게,북카페,일반서적,35276,대전광역시 서구 신갈마로181번길 24-23,36.3507745,127.73664959,,,,,,,,,,,,
KCCBSPO23N000000059,지금은책방 복합문화공간 카페타바,북카페,일반서적,32218,충청남도 홍성군 홍성읍 간동1길 64-56,36.6094142,126.66712368,,,,,,,,,,,,
KCCBSPO23N000000060,지식을담다,북카페,일반서적,02856,서울특별시 성북구 고려대로24가길 17 소낭구 빌딩 1층,37.5853157,127.70304981,10:00,22:00,12:00,19:00,12:00,19:00,,,,029278044,독서활동 장소,카페 : 있음
KCCBSPO23N000000061,진책방,북카페,일반서적,42132,대구광역시 수성구 수성로64길 53 1층,35.8531693,128.86165324,11:00,18:00,,,,,,,,0532418004,"책, 독서모임, 허브차, 꽃차, 일리커피","카페 : 있음 : 독서모임 : 가능, 강연 : 가능"
KCCBSPO23N000000062,차북카페,북카페,일반서적,22554,인천광역시 동구 서해대로513번길 19 촨촨2층차북카페,37.4723289,126.66366755,10:00,21:00,10:00,21:00,10:00,21:00,,,휴무 전일 공지,,"편하게 볼 수 있는 책이 가득, 모든 커피는 핸드드립으로 직접 제조","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000063,채그로,북카페,일반서적,04178,서울특별시 마포구 마포대로4다길 31,37.5356886,126.69442193,10:00,22:00,10:00,22:00,10:00,22:00,,,,050713410325,한강뷰가 아름다운 독서 피트니스 interactive 서점,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000064,채그로,북카페,일반서적,04178,서울특별시 마포구 마포대로4다길 31,37.5356886,126.69442193,10:00,22:00,10:00,22:00,10:00,22:00,,,,050713410325,한강뷰가 아름다운 독서 피트니스 interactive 서점,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000065,책먹는돼지,북카페,일반서적,16657,경기도 수원시 권선구 덕영대로1142번길 43,37.2493135,127.70152851,11:00,19:00,11:00,19:00,,,,,"일요일, 월요일",050713385822,"30년간 수집한 돼지와 평생을 함께한 책, 따듯한 차를 나누는 곳",카페 : 있음
KCCBSPO23N000000066,"책방소문,",북카페,일반서적,50133,경상남도 거창군 거창읍 하동1길 62 책방소문,35.6895291,127.79117223,,,,,,,,,,,,
KCCBSPO23N000000067,책방익힘 북스&커피,북카페,일반서적,53320,경상남도 거제시 장승포로1길 13 1층,34.8682225,128.87249636,,,,,,,,,,,,
KCCBSPO23N000000068,책인감,북카페,일반서적,01846,서울특별시 노원구 동일로182길 63-1 2층,37.6235692,127.70775528,12:00,21:00,12:00,21:00,12:00,21:00,,,"월요일 휴무, 화요일 휴무",050713027286,책방이자 사람이 모이고 감성이 있는 장소,카페 : 있음
KCCBSPO23N000000069,청맥살롱,북카페,일반서적,06972,서울특별시 동작구 서달로 161-1 2층,37.5078138,126.69622753,11:00,21:00,11:00,21:00,11:00,21:00,,,,050713151605,"청맥살롱은 커피, 맥주, 책을 즐길 수 있는 중앙 대 북카페&흑석동 동네서점입니다.","화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000070,최인아책방,북카페,일반서적,06149,서울특별시 강남구 선릉로 521 4층,37.5060349,127.70479557,12:00,20:00,12:00,20:00,12:00,20:00,,,,0220887330,큐레이션 서점,카페 : 있음
KCCBSPO23N000000071,최인아책방,북카페,일반서적,06149,서울특별시 강남구 선릉로 521 4층,37.5060349,127.70479557,12:00,20:00,12:00,20:00,12:00,20:00,,,,0220887330,큐레이션 서점,카페 : 있음
KCCBSPO23N000000072,카페 온당,북카페,일반서적,38817,경상북도 영천시 임고면 포은로 452 카페온당,36.0169287,128.89744979,,,,,,,,,,,,
KCCBSPO23N000000073,카페 이곡서점,북카페,일반서적,32141,충청남도 태안군 태안읍 샘골로 65 카페 이곡서점,36.7550057,126.63035495,,,,,,,,,,,,
KCCBSPO23N000000074,커피행성,북카페,일반서적,25222,강원특별자치도 횡성군 횡성읍 삼일로 60 1층,37.494759,127.79863792,11:00,22:00,11:00,22:00,11:00,18:00,,,월요일,050713579755,커피와 인문서적 등,"주차 : 가능, 카페 : 있음"
KCCBSPO23N000000075,터득골북샵,북카페,일반서적,26492,강원특별자치도 원주시 흥업면 대안로 511-42 터득골북샵,37.2679343,127.7872102,11:00,19:00,11:00,19:00,11:00,19:00,,,월요일,0337627140,브런치와 카페를 함께 즐길 수 있는 북카페,카페 : 있음
KCCBSPO23N000000076,토닥토닥괜찮아,북카페,일반서적,15445,경기도 안산시 단원구 초지로 118 대일타운 204호,37.3094713,126.68153392,,,,,,,,,,0314113035,,카페 : 있음
KCCBSPO23N000000077,통북스스터디카페,북카페,일반서적,31120,충청남도 천안시 동남구 만남로 17 .,36.8192929,127.7153908,,,,,,,,,,,,
KCCBSPO23N000000078,하늘북,북카페,일반서적,16356,경기도 수원시 장안구 덕영대로417번길 73,37.3038277,126.69682145,,,,,,,,,,0535910911,,카페 : 있음
